Samp,StructID_noflag,SampType,Pop,1_in_het_introgress,1_h_introgress,2_in_het_introgress,2_h_introgress,3_in_het_introgress,3_h_introgress,class_nh_50,FLB_LMB_stru,ALB_stru,REB_stru,CHB_stru,SHB_stru,Newhyb Run1?,Newhybs1_assign,Newhyb Run2?,Newhybs2_assign,Newhyb Run3?,Newhybs3_assign,No Newhyb?
Coosa2016_185,REB,refREB,,,,,,,,,0.001,0.002,0.9939,0.002,0.0011,,,,,,,
Coosa2016_189,REB,refREB,,,,,,,,,0.001,0.002,0.994,0.002,0.001,,,,,,,
Coosa2016_192,REB,refREB,,,,,,,,,0.001,0.002,0.9928,0.0032,0.001,,,,,,,
Coosa2016_193,REB,refREB,,,,,,,,,0.001,0.0013,0.9952,0.0015,0.001,,,,,,,
Coosa2016_196,REB,refREB,,,,,,,,,0.001,0.001,0.995,0.002,0.001,,,,,,,
Coosa2016_197,REB,refREB,,,,,,,,,0.001,0.003,0.992,0.002,0.002,,,,,,,
Coosa2016_198,REB,refREB,,,,,,,,,0.001,0.002,0.994,0.001,0.002,,,,,,,
Chattahooch_1110,CHB,refCHB,,,,,,,,,0.001,0.001,0.001,0.995,0.002,,,,,,,
Chattahooch_1111,CHB,refCHB,,,,,,,,,0.002,0.001,0.002,0.994,0.001,,,,,,,
Chattahooch_1316,CHB,refCHB,,,,,,,,,0.001,0.001,0.002,0.9931,0.0029,,,,,,,
Chattahooch_1318,CHB,refCHB,,,,,,,,,0.002,0.003,0.005,0.989,0.001,,,,,,,
Chattahooch_1320,CHB,refCHB,,,,,,,,,0.001,0.001,0.0042,0.9928,0.001,,,,,,,
Chattahooch_1321,CHB,refCHB,,,,,,,,,0.001,0.001,0.004,0.993,0.001,,,,,,,
Chattahooch_1327,CHB,refCHB,,,,,,,,,0.0016,0.0026,0.002,0.9908,0.003,,,,,,,
Chattahooch_1331,CHB,refCHB,,,,,,,,,0.002,0.0247,0.005,0.9613,0.007,,,,,,,
Chattahooch_893,CHB,refCHB,,,,,,,,,0.001,0.002,0.003,0.993,0.001,,,,,,,
Chattahooch_894,CHB,refCHB,,,,,,,,,0.002,0.001,0.002,0.994,0.001,,,,,,,
Chattahooch_895,CHB,refCHB,,,,,,,,,0.001,0.004,0.0047,0.9843,0.006,,,,,,,
Chattahooch_902,CHB,refCHB,,,,,,,,,0.001,0.002,0.002,0.994,0.001,,,,,,,
Chattahooch_908,CHB,refCHB,,,,,,,,,0.001,0.0134,0.002,0.9816,0.002,,,,,,,
Chattahooch_918,CHB,refCHB,,,,,,,,,0.001,0.002,0.002,0.992,0.003,,,,,,,
Chattahooch_919,CHB,refCHB,,,,,,,,,0.002,0.007,0.003,0.983,0.005,,,,,,,
Chattahooch_921,CHB,refCHB,,,,,,,,,0.001,0.002,0.0019,0.9921,0.003,,,,,,,
Chattahooch_924,CHB,refCHB,,,,,,,,,0.002,0.005,0.002,0.9872,0.0038,,,,,,,
Chattahooch_926,CHB,refCHB,,,,,,,,,0.002,0.002,0.003,0.987,0.006,,,,,,,
Chattahooch_927,CHB,refCHB,,,,,,,,,0.0018,0.002,0.001,0.9922,0.003,,,,,,,
Chattahooch_929,CHB,refCHB,,,,,,,,,0.001,0.001,0.002,0.995,0.001,,,,,,,
Chattahooch_931,CHB,refCHB,,,,,,,,,0.001,0.004,0.008,0.9761,0.0109,,,,,,,
Chattahooch_934,CHB,refCHB,,,,,,,,,0.001,0.001,0.002,0.995,0.001,,,,,,,
Chattahooch_937,CHB,refCHB,,,,,,,,,0.001,0.001,0.002,0.995,0.001,,,,,,,
Chattahooch_938,CHB,refCHB,,,,,,,,,0.001,0.001,0.002,0.995,0.001,,,,,,,
Chattahooch_939,CHB,refCHB,,,,,,,,,0.001,0.0132,0.003,0.9798,0.003,,,,,,,
Chattahooch_941,CHB,refCHB,,,,,,,,,0.001,0.003,0.002,0.9759,0.0181,,,,,,,
Chattahooch_946,CHB,refCHB,,,,,,,,,0.002,0.0037,0.002,0.9662,0.0261,,,,,,,
Chattahooch_947,CHB,refCHB,,,,,,,,,0.001,0.003,0.002,0.992,0.002,,,,,,,
Chattahooch_949,CHB,refCHB,,,,,,,,,0.001,0.003,0.001,0.993,0.002,,,,,,,
Chattahooch_957,CHB,refCHB,,,,,,,,,0.002,0.002,0.002,0.992,0.002,,,,,,,
OSU_A_38,SHB,refSHB,,,,,,,,,0.001,0.0019,0.001,0.001,0.9951,,,,,,,
OSU_A_09,SHB,refSHB,,,,,,,,,0.001,0.0011,0.001,0.001,0.9959,,,,,,,
OSU_A_24,SHB,refSHB,,,,,,,,,0.001,0.0012,0.0011,0.001,0.9957,,,,,,,
Mcat3533,SHB,refSHB,,,,,,,,,0.001,0.001,0.001,0.001,0.996,,,,,,,
OSU_E_22,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
OSU_E_5,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
OSU_E_28,SHB,refSHB,,,,,,,,,0.001,0.001,0.001,0.001,0.996,,,,,,,
OSU_E_34,SHB,refSHB,,,,,,,,,0.001,0.0011,0.001,0.001,0.9959,,,,,,,
Mcat5340,SHB,refSHB,,,,,,,,,0.001,0.0011,0.001,0.001,0.9959,,,,,,,
Mcat5349,SHB,refSHB,,,,,,,,,0.001,0.0019,0.001,0.001,0.9951,,,,,,,
SHBA_BigCreek_2015-195,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
SHBA_BigCreek_2015-249,SHB,refSHB,,,,,,,,,0.001,0.003,0.001,0.001,0.994,,,,,,,
GMNHTC-3411,SHB,refSHB,,,,,,,,,0.001,0.003,0.001,0.001,0.994,,,,,,,
SHBA_CHA_2015-108,SHB,refSHB,,,,,,,,,0.001,0.0054,0.002,0.0012,0.9904,,,,,,,
GMNHTC-3484,SHB,refSHB,,,,,,,,,0.001,0.001,0.001,0.0014,0.9956,,,,,,,
SHBA_CHA_2015-119,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
SHBA_U_4,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
SHBA_U_14,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
SHBA_U_16,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
SHBA_U_22,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
GDR_294,SHB,refSHB,,,,,,,,,0.0039,0.0022,0.0015,0.003,0.9894,,,,,,,
GDR_259,SHB,refSHB,,,,,,,,,0.001,0.0024,0.001,0.001,0.9946,,,,,,,
GDR_261,SHB,refSHB,,,,,,,,,0.0021,0.0011,0.001,0.001,0.9948,,,,,,,
GDR_608,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
BBCC_23,SHB,refSHB,,,,,,,,,0.002,0.001,0.002,0.001,0.994,,,,,,,
BBCC_54,SHB,refSHB,,,,,,,,,0.001,0.001,0.001,0.001,0.996,,,,,,,
BBCC_57,SHB,refSHB,,,,,,,,,0.001,0.001,0.001,0.001,0.996,,,,,,,
BBCC_58,SHB,refSHB,,,,,,,,,0.001,0.001,0.002,0.002,0.994,,,,,,,
GDR_441,SHB,refSHB,,,,,,,,,0.002,0.001,0.001,0.001,0.995,,,,,,,
GDR_444,SHB,refSHB,,,,,,,,,0.001,0.0023,0.001,0.001,0.9947,,,,,,,
GDR_446,SHB,refSHB,,,,,,,,,0.002,0.003,0.003,0.002,0.99,,,,,,,
GA5408,SHB,refSHB,,,,,,,,,0.0021,0.002,0.0011,0.0016,0.9932,,,,,,,
FLRSHB_246,SHB,refSHB,,,,,,,,,0.001,0.0011,0.001,0.001,0.9959,,,,,,,
FLRSHB_277,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
FLRSHB_120,SHB,refSHB,,,,,,,,,0.001,0.002,0.002,0.0013,0.9937,,,,,,,
FRSHB032,SHB,refSHB,,,,,,,,,0.001,0.0016,0.002,0.001,0.9944,,,,,,,
GA5418,SHB,refSHB,,,,,,,,,0.0012,0.002,0.002,0.0021,0.9927,,,,,,,
FLRSHB_262,SHB,refSHB,,,,,,,,,0.001,0.002,0.003,0.002,0.992,,,,,,,
FLRSHB_263,SHB,refSHB,,,,,,,,,0.001,0.002,0.002,0.003,0.992,,,,,,,
FRSHB059,SHB,refSHB,,,,,,,,,0.002,0.002,0.001,0.001,0.994,,,,,,,
FRSHB013,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
GA5451,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.0013,0.9947,,,,,,,
GA5467,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
GA5468,SHB,refSHB,,,,,,,,,0.003,0.002,0.001,0.001,0.993,,,,,,,
GA5484,SHB,refSHB,,,,,,,,,0.001,0.002,0.002,0.002,0.993,,,,,,,
GA5428,SHB,refSHB,,,,,,,,,0.003,0.002,0.001,0.001,0.993,,,,,,,
GA5439,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
FRSHB069,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
FRSHB089,SHB,refSHB,,,,,,,,,0.001,0.002,0.001,0.001,0.995,,,,,,,
FRSHB074,SHB,refSHB,,,,,,,,,0.001,0.002,0.002,0.002,0.993,,,,,,,
FRSHB052,SHB,refSHB,,,,,,,,,0.001,0.002,0.0016,0.002,0.9934,,,,,,,
sh204,SHB,refSHB,,,,,,,,,0.01,0.002,0.003,0.002,0.983,,,,,,,
sh59,SHB,refSHB,,,,,,,,,0.001,0.003,0.002,0.001,0.993,,,,,,,
sh250,SHB,refSHB,,,,,,,,,0.001,0.0039,0.002,0.002,0.9911,,,,,,,
sh25,SHB,refSHB,,,,,,,,,0.001,0.003,0.002,0.001,0.993,,,,,,,
001_01_ALB,ALB,wildpop,1,0.142857143,0.85675,0.071428571,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
002_01_ALB,ALB,wildpop,1,0.2,0.8914935,0.133333333,0.9340776,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
003_01_ALB,ALB,wildpop,1,0.133333333,0.7166232,0.133333333,0.9341169,,,ALB,0,0.99,0,0,0.01,1,ALB,2,ALB,,,
004_01_ALB,ALB,wildpop,1,0.125,0.9697899,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
005_01_ALB,ALB,wildpop,1,0.133333333,0.9925422,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
006_01_ALB,ALB,wildpop,1,0.133333333,0.8722387,0.066666667,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
007_01_ALB,ALB,wildpop,1,0.133333333,1,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
008_01_ALB,ALB,wildpop,1,0.1875,0.9772673,0.0625,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
009_01_ALB,ALB,wildpop,1,0,0.8310743,0,0.998091,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
010_01_ALB,ALB,wildpop,1,0.071428571,1,0.071428571,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
011_01_ALB,ALB,wildpop,1,0.1875,0.9757636,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
012_01_ALB,ALB,wildpop,1,0.1875,0.9667711,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
013_01_ALB,ALB,wildpop,1,0.333333333,0.7526081,0.066666667,1,,,ALB,0,0.99,0,0,0.01,1,ALB,2,ALB,,,
014_01_ALB,ALB,wildpop,1,0.25,0.8326982,0,1,,,ALB,0,0.99,0,0,0.01,1,ALB,2,ALB,,,
